RazaoSocial;Municipio;UF;DescNaturezaJuridica;DataAbertura;IdadeEmp;PorteEmpresa;DS_ITCP_TP_MATERIAL_SERVICO;ANO_EMPENHO;VL_EMPENHADO
3M GERENCIAMENTO EMPRESARIAL - EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);10/02/2014;7;NÃO INFORMADO;Material;2019;35413.93
3QA TECNOLOGIA EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);12/06/2012;9;EMPRESA DE PEQUENO PORTE;Serviço;2018;62578.06
3QA TECNOLOGIA EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);12/06/2012;9;EMPRESA DE PEQUENO PORTE;Serviço;2019;64717.07
3R INFORMATICA LTDA;PORTO ALEGRE;RS;Sociedade Empresária Limitada;11/09/1984;37;EMPRESA DE PEQUENO PORTE;Material;2020;6167.40
3S INFORMATICA LTDA;VITÓRIA;ES;Sociedade Empresária Limitada;05/02/2019;2;NÃO INFORMADO;Material;2020;826564.93
4 BUSINESS SOLUTIONS CONSULTORIA S/A;BELO HORIZONTE;MG;Sociedade Anônima Fechada;09/05/2016;5;DEMAIS;Serviço;2018;470.00
4 BUSINESS SOLUTIONS CONSULTORIA S/A;BELO HORIZONTE;MG;Sociedade Anônima Fechada;09/05/2016;5;DEMAIS;Serviço;2019;44302.00
4BEARS INFORMATICA LTDA;BARUERI;SP;Sociedade Empresária Limitada;03/11/2003;18;DEMAIS;Serviço;2018;427975.00
4BIOS ACADEMY LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;22/03/2012;9;DEMAIS;Serviço;2018;64572.50
4BIOS ACADEMY LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;22/03/2012;9;DEMAIS;Serviço;2019;44266.00
4CIS SISTEMAS LTDA;POUSO ALEGRE;MG;Sociedade Empresária Limitada;23/09/2014;7;NÃO INFORMADO;Serviço;2018;630.00
4CIS SISTEMAS LTDA;POUSO ALEGRE;MG;Sociedade Empresária Limitada;23/09/2014;7;NÃO INFORMADO;Serviço;2019;905.00
4D SOLUCAO TECNOLOGICA LTDA;MARINGÁ;PR;Sociedade Empresária Limitada;03/12/2018;3;EMPRESA DE PEQUENO PORTE;Material;2020;438.00
4KSEG SOLUCOES TECNOLOGICAS EIRELI;PALHOÇA;SC;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);20/09/2016;5;NÃO INFORMADO;Material;2019;3001.59
4LINUX SOFTWARE E COMERCIO DE PROGRAMAS LTDA.;SÃO PAULO;SP;Sociedade Empresária Limitada;14/05/2001;20;DEMAIS;Serviço;2020;107694.00
7LAN COMERCIO E SERVICOS EIRELI;MARICÁ;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);03/05/2005;16;DEMAIS;Serviço;2018;15970.00
A & L INFO SOLUCOES EM INFORMATICA EIRELI;GUAMARÉ;RN;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);12/07/2011;10;NÃO INFORMADO;Serviço;2019;28309.50
A C OZAWA INFORMATICA EIRELI;BRASIL NOVO;PA;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);16/10/2012;9;NÃO INFORMADO;Serviço;2020;9195.00
A DE M BARBOSA COMERCIO E SERVICOS EIRELI;ITAITUBA;PA;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);27/10/2016;5;NÃO INFORMADO;Material;2018;16500.00
A F COSTA TECNOLOGIA;RIO DE JANEIRO;RJ;Empresário (Individual);12/05/2020;1;NÃO INFORMADO;Serviço;2020;48100.00
A F L PIRES COMERCIO;BALSAS;MA;Empresário (Individual);10/12/2008;13;NÃO INFORMADO;Serviço;2020;3500.00
A L ROCHA FERREIRA INFORMATICA LTDA;MARINGÁ;PR;Sociedade Empresária Limitada;21/05/2020;1;NÃO INFORMADO;Material;2020;16100.00
A P BASSO;HUMAITÁ;AM;Empresário (Individual);21/11/2001;20;NÃO INFORMADO;Material;2020;5250.00
A P NEUMANN;RIBEIRÃO CASCALHEIRA;MT;Empresário (Individual);22/04/2010;11;NÃO INFORMADO;Material;2018;1363.35
A P NEUMANN;RIBEIRÃO CASCALHEIRA;MT;Empresário (Individual);22/04/2010;11;NÃO INFORMADO;Material;2019;5125.00
A TELECOM TELEINFORMATICA LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;30/12/1992;29;DEMAIS;Serviço;2020;1378162.00
A. E. DA CRUZ ELER;ROLIM DE MOURA;RO;Empresário (Individual);07/05/2009;12;NÃO INFORMADO;Material;2020;427.14
A. F. P. COSTA;BOA VISTA;RR;Empresário (Individual);22/11/2012;9;NÃO INFORMADO;Serviço;2019;90355.64
A. PEREIRA LEITE MATERIAIS PARA CONSTRUCAO;CUIABÁ;MT;Empresário (Individual);29/01/2018;3;NÃO INFORMADO;Material;2019;395.10
A. S. SANTOS INFORMATICA;JEQUIÉ;BA;Empresário (Individual);01/02/1999;22;NÃO INFORMADO;Serviço;2020;9633.00
A. SALOMAO DE ALMEIDA;MACAPÁ;AP;Empresário (Individual);15/05/2001;20;NÃO INFORMADO;Material;2020;13770.00
A. SCUCEL;SÃO PAULO;SP;Empresário (Individual);20/10/2010;11;NÃO INFORMADO;Material;2018;0.00
18 GIGAS COMERCIO DE EQUIPAMENTOS EIRELI;CURITIBA;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);24/04/2014;7;EMPRESA DE PEQUENO PORTE;Material;2020;10856.00
24MAIS - TECNOLOGIA LTDA;CURITIBA;PR;Sociedade Empresária Limitada;03/07/2014;7;NÃO INFORMADO;Material;2019;5022.00
2M SOLUTIONS TECNOLOGIA LTDA;SANTO ANDRÉ;SP;Sociedade Empresária Limitada;14/05/2003;18;EMPRESA DE PEQUENO PORTE;Serviço;2019;32777.68
2R DATATEL TELEINFORMATICA LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;30/06/1993;28;DEMAIS;Material;2018;14190617.00
2R DATATEL TELEINFORMATICA LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;30/06/1993;28;DEMAIS;Material;2019;8592108.80
3A SOLUCOES EM TECNOLOGIA EIRELI;LONDRINA;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);05/10/2012;9;EMPRESA DE PEQUENO PORTE;Material;2018;182754.30
3CON CONSULTORIA E SISTEMAS S.A.;SANTANA DE PARNAÍBA;SP;Sociedade Anônima Fechada;16/11/1993;28;DEMAIS;Serviço;2020;93923.78
3D CRIAR CONSULTORIA E COMERCIO DE SOLUCOES DIGITAIS LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;01/06/2006;15;NÃO INFORMADO;Material;2020;1004077.00
3M GERENCIAMENTO EMPRESARIAL - EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);10/02/2014;7;NÃO INFORMADO;Material;2020;48619.96
3R INFORMATICA LTDA;PORTO ALEGRE;RS;Sociedade Empresária Limitada;11/09/1984;37;EMPRESA DE PEQUENO PORTE;Material;2018;23060.55
4 BUSINESS SOLUTIONS CONSULTORIA S/A;BELO HORIZONTE;MG;Sociedade Anônima Fechada;09/05/2016;5;DEMAIS;Serviço;2020;51082.00
4CIS SISTEMAS LTDA;POUSO ALEGRE;MG;Sociedade Empresária Limitada;23/09/2014;7;NÃO INFORMADO;Serviço;2020;1085.00
4LINUX SOFTWARE E COMERCIO DE PROGRAMAS LTDA.;SÃO PAULO;SP;Sociedade Empresária Limitada;14/05/2001;20;DEMAIS;Serviço;2018;103570.00
4U DIGITAL COMERCIO E SERVICOS EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);04/03/2015;6;EMPRESA DE PEQUENO PORTE;Material;2018;1205767.60
4U DIGITAL COMERCIO E SERVICOS EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);04/03/2015;6;EMPRESA DE PEQUENO PORTE;Material;2019;5000.00
67 TELECOM LTDA;PONTA PORÃ;MS;Sociedade Empresária Limitada;13/04/2018;3;EMPRESA DE PEQUENO PORTE;Serviço;2019;1918.80
682 SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA;FORTALEZA;CE;Sociedade Empresária Limitada;04/11/2015;6;NÃO INFORMADO;Material;2018;6699.50
682 SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA;FORTALEZA;CE;Sociedade Empresária Limitada;04/11/2015;6;NÃO INFORMADO;Material;2019;699.90
7IT TECNOLOGIA E NUVEM LTDA;TATUÍ;SP;Sociedade Empresária Limitada;26/05/2010;11;NÃO INFORMADO;Serviço;2020;1918.80
8V TECNOLOGIA EIRELI;SALTO DE PIRAPORA;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);08/07/2015;6;NÃO INFORMADO;Material;2018;17980.00
8V TECNOLOGIA EIRELI;SALTO DE PIRAPORA;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);08/07/2015;6;NÃO INFORMADO;Material;2019;7500.00
A B COMPUTACAO - IMPORTACAO E EXPORTACAO EIRELI;NATAL;RN;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);14/09/1998;23;EMPRESA DE PEQUENO PORTE;Material;2018;5562.00
A B COMPUTACAO - IMPORTACAO E EXPORTACAO EIRELI;NATAL;RN;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);14/09/1998;23;EMPRESA DE PEQUENO PORTE;Material;2019;600.00
A C INSUMOS LTDA;CAMPO GRANDE;MS;Sociedade Empresária Limitada;08/04/1997;24;EMPRESA DE PEQUENO PORTE;Material;2018;750.00
A P MOREIRA INFORMATICA;CACHOEIRO DE ITAPEMIRIM;ES;Empresário (Individual);16/04/2018;3;NÃO INFORMADO;Material;2018;521.50
A P MOREIRA INFORMATICA;CACHOEIRO DE ITAPEMIRIM;ES;Empresário (Individual);16/04/2018;3;NÃO INFORMADO;Material;2019;4065.00
A SOUZA DE OLIVEIRA DISTRIBUIDORA;SÃO JOSÉ DE RIBAMAR;MA;Empresário (Individual);03/12/2004;17;NÃO INFORMADO;Material;2020;4775.04
A STAR INOVACAO SOFTWARES CUSTOMIZAVEIS LTDA;COTIA;SP;Sociedade Empresária Limitada;08/02/2017;4;DEMAIS;Serviço;2019;3800.00
A T G CASTRO - INFORMATICA;CASTRO;PR;Empresário (Individual);24/04/2008;13;NÃO INFORMADO;Material;2019;270.00
A T GONDIM DE ALMEIDA;NATAL;RN;Empresário (Individual);17/03/2005;16;EMPRESA DE PEQUENO PORTE;Material;2018;538.00
A TELECOM TELEINFORMATICA LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;30/12/1992;29;DEMAIS;Serviço;2018;1402934.08
A. F. P. COSTA;BOA VISTA;RR;Empresário (Individual);22/11/2012;9;NÃO INFORMADO;Serviço;2020;304118.45
A. O. SANTOS;CRUZEIRO DO SUL;AC;Empresário (Individual);12/06/2012;9;NÃO INFORMADO;Material;2019;1500.00
A.E. DE SOUZA SUPRIMENTOS DE INFORMATICA;SÃO PAULO;SP;Empresário (Individual);06/07/2012;9;NÃO INFORMADO;Material;2018;127787.23
A.E. DE SOUZA SUPRIMENTOS DE INFORMATICA;SÃO PAULO;SP;Empresário (Individual);06/07/2012;9;NÃO INFORMADO;Material;2019;3053.94
A2 COMERCIO, REPRESENTACOES E SERVICOS EIRELI;RIO DE JANEIRO;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);11/11/2011;10;DEMAIS;Material;2018;124000.00
A2 COMERCIO, REPRESENTACOES E SERVICOS EIRELI;RIO DE JANEIRO;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);11/11/2011;10;DEMAIS;Material;2019;22989.40
A2B SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA.;BRASÍLIA;DF;Sociedade Empresária Limitada;11/05/2004;17;EMPRESA DE PEQUENO PORTE;Serviço;2020;15000.00
A3 COMERCIO, LOCACAO E ASSISTENCIA TECNICA DE MAQUINAS E EQUIPAMENTOS - EIRELI;JUIZ DE FORA;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);12/05/2010;11;NÃO INFORMADO;Serviço;2020;218790.98
A4 DIGITAL PRINT LTDA;PALHOÇA;SC;Sociedade Empresária Limitada;21/12/2007;14;EMPRESA DE PEQUENO PORTE;Serviço;2020;179516.02
A4A SOLUCOES E SERVICOS EIRELI;SANTA LUZIA;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);21/07/2015;6;NÃO INFORMADO;Material;2018;8964.66
A4A SOLUCOES E SERVICOS EIRELI;SANTA LUZIA;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);21/07/2015;6;NÃO INFORMADO;Material;2019;1066.42
AB TECH SOLUCOES EM REDES E INFORMATICA LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;03/03/2009;12;NÃO INFORMADO;Material;2018;393.00
ABBA SERVICOS DE MANUTENCAO E COMERCIO EM GERAL EIRELI;NITERÓI;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);22/07/2019;2;NÃO INFORMADO;Material;2020;24431.00
ABS REPRESENTACOES E COMERCIO ATACADISTA E VAREJISTA LTDA;VARGINHA;MG;Sociedade Empresária Limitada;26/11/2018;3;NÃO INFORMADO;Material;2020;18925.60
ACAO COMERCIAL DE PAPEIS LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;30/06/2004;17;EMPRESA DE PEQUENO PORTE;Material;2018;18725.24
ACECO TI LTDA.;DIADEMA;SP;Sociedade Empresária Limitada;02/01/1972;49;DEMAIS;Serviço;2020;2929410.61
ACESSO COMERCIO E SERVICO DE INFORMATICA EIRELI;BRASÍLIA;DF;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);03/10/2008;13;NÃO INFORMADO;Serviço;2019;8600.00
ACESSO TELECOM LTDA;BRASÍLIA;DF;Sociedade Empresária Limitada;05/12/2008;13;EMPRESA DE PEQUENO PORTE;Material;2020;1051161.30
ACKTECH - INFORMATICA E CONSULTORIA LTDA;RIO DE JANEIRO;RJ;Sociedade Empresária Limitada;27/04/2007;14;NÃO INFORMADO;Material;2020;24484.96
ACN COMERCIO DE PRODUTOS DE TRANSITO LTDA;SÃO JOSÉ;SC;Sociedade Empresária Limitada;05/11/1993;28;DEMAIS;Serviço;2019;94215.41
ACRE JET INFORMATICA LTDA;RIO BRANCO;AC;Sociedade Empresária Limitada;29/01/2004;17;NÃO INFORMADO;Material;2018;121558.00
ACRONET CORPORATIVO COMERCIO E SERVICOS EIRELI;PORTO VELHO;RO;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);11/05/2012;9;EMPRESA DE PEQUENO PORTE;Serviço;2018;71963.16
ACRONET CORPORATIVO COMERCIO E SERVICOS EIRELI;PORTO VELHO;RO;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);11/05/2012;9;EMPRESA DE PEQUENO PORTE;Serviço;2019;123158.23
ACTIVEWEB TECHNOLOGIES INFORMATICA LTDA;CURITIBA;PR;Sociedade Empresária Limitada;09/10/2001;20;NÃO INFORMADO;Material;2018;490.00
ACTIVEWEB TECHNOLOGIES INFORMATICA LTDA;CURITIBA;PR;Sociedade Empresária Limitada;09/10/2001;20;NÃO INFORMADO;Material;2019;226.10
ACTTIVE LTDA;GOIANÉSIA;GO;Sociedade Empresária Limitada;24/02/1989;32;EMPRESA DE PEQUENO PORTE;Serviço;2020;45002.04
ACV BRASIL SUSTENTABILIDADE PRESTACAO DE SERVICOS, CONSULTORIA E ASSESSORIA LTDA;CURITIBA;PR;Sociedade Empresária Limitada;19/07/2010;11;EMPRESA DE PEQUENO PORTE;Serviço;2019;28500.00
AD HOC SOLUCOES EM TECNOLOGIA EIRELI;FEIRA DE SANTANA;BA;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);15/04/2015;6;NÃO INFORMADO;Material;2019;6380.00
AD HOC SOLUCOES EM TECNOLOGIA EIRELI;FEIRA DE SANTANA;BA;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);15/04/2015;6;NÃO INFORMADO;Serviço;2018;8140.00
ADCON - ADMINISTRACAO E CONSERVACAO EIRELI;BELO HORIZONTE;MG;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);21/06/2001;20;DEMAIS;Serviço;2020;52189.60
ADD VALUE PARTICIPACOES, COMERCIO E SERVICOS DE INFORMATICA LTDA.;BARUERI;SP;Sociedade Empresária Limitada;15/05/2009;12;DEMAIS;Serviço;2018;14266.80
ADEGA COMERCIO DE ARTIGOS DE INFORMATICA EIRELI;BENTO GONÇALVES;RS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);09/02/2010;11;NÃO INFORMADO;Material;2020;8812.97
ADELCO SISTEMAS DE ENERGIA LTDA EM RECUPERACAO JUDICIAL;BARUERI;SP;Sociedade Empresária Limitada;25/07/1967;54;DEMAIS;Serviço;2019;11404.50
ADELIO JOSE DO NASCIMENTO;BETIM;MG;Empresário (Individual);27/07/2010;11;NÃO INFORMADO;Material;2019;892.92
ADEMIR FLORINDO DE OLIVEIRA;CURITIBA;PR;Empresário (Individual);11/05/2017;4;NÃO INFORMADO;Material;2018;59.80
ADIK SOFTWARE LTDA;NOVA LIMA;MG;Sociedade Empresária Limitada;05/01/1995;26;EMPRESA DE PEQUENO PORTE;Material;2020;190285.00
ADRIANO DE OLIVEIRA RODRIGUES;POÁ;SP;Empresário (Individual);09/10/2008;13;NÃO INFORMADO;Material;2020;720.00
ADVANCE SUPRIMENTOS LTDA;CURITIBA;PR;Sociedade Empresária Limitada;08/11/2000;21;EMPRESA DE PEQUENO PORTE;Material;2018;1435.50
AEON CONSULTORIA EM INFORMATICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;06/08/2004;17;NÃO INFORMADO;Serviço;2019;1098000.00
AF EMPREENDIMENTOS EIRELI;APARECIDA DE GOIÂNIA;GO;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);23/11/2017;4;EMPRESA DE PEQUENO PORTE;Material;2020;0.00
AFB PRIME INDUSTRIA, COMERCIO E DISTRIBUICAO DE EQUIPAMENTOS - EIRELI;SANTO ANTÔNIO DA PLATINA;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);09/12/1977;44;EMPRESA DE PEQUENO PORTE;Material;2018;64458.64
AFB PRIME INDUSTRIA, COMERCIO E DISTRIBUICAO DE EQUIPAMENTOS - EIRELI;SANTO ANTÔNIO DA PLATINA;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);09/12/1977;44;EMPRESA DE PEQUENO PORTE;Material;2019;16383.82
AFL SERVICOS EIRELI;CAMPO GRANDE;MS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);03/10/2005;16;NÃO INFORMADO;Serviço;2018;2621.00
AFL SERVICOS EIRELI;CAMPO GRANDE;MS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);03/10/2005;16;NÃO INFORMADO;Serviço;2019;1824.00
AFRAS SISTEMAS DE TELECOMUNICACOES LTDA;PONTA GROSSA;PR;Sociedade Empresária Limitada;02/12/1996;25;NÃO INFORMADO;Material;2018;200.00
AGE DESENVOLVIMENTO DE SISTEMAS LTDA.;SANTOS;SP;Sociedade Simples Limitada;16/07/2001;20;DEMAIS;Serviço;2018;188000.00
AGE DESENVOLVIMENTO DE SISTEMAS LTDA.;SANTOS;SP;Sociedade Simples Limitada;16/07/2001;20;DEMAIS;Serviço;2019;161114.28
AGILE PTN TREINAMENTOS EM INFORMATICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;24/11/2015;6;NÃO INFORMADO;Serviço;2020;14400.00
AGILENT TECHNOLOGIES BRASIL LTDA;BARUERI;SP;Sociedade Empresária Limitada;15/07/1999;22;DEMAIS;Material;2019;9726.97
AGILENT TECHNOLOGIES BRASIL LTDA;BARUERI;SP;Sociedade Empresária Limitada;07/10/2010;11;DEMAIS;Serviço;2020;11948.88
AGIS EQUIPAMENTOS E SERVICOS DE INFORMATICA LTDA.;SERRA;ES;Sociedade Empresária Limitada;12/12/2013;8;DEMAIS;Serviço;2020;30285.00
AGOS B2G COMERCIAL E SERVICOS EM LICITACOES EIRELI;QUATRO BARRAS;PR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);29/07/2019;2;NÃO INFORMADO;Material;2020;7162.60
AGRA COMERCIO DE FERRAMENTAS EIRELI;CAMPINA GRANDE;PB;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);27/10/2008;13;NÃO INFORMADO;Material;2019;462.62
1 BIT GESTAO E CONSULTORIA LTDA;REDENÇÃO;PA;Sociedade Empresária Limitada;16/03/2014;7;NÃO INFORMADO;Material;2018;17242.95
1 TECH COMERCIO, SERVICOS E SOLUCOES DE INFORMATICA LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;11/05/2018;3;EMPRESA DE PEQUENO PORTE;Material;2019;48259.10
2TLB COMERCIO E SERVICOS EIRELI;RIO DE JANEIRO;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);19/02/2014;7;EMPRESA DE PEQUENO PORTE;Material;2019;5775.00
3 GIGAFOX NETWORK E INFORMATICA EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);13/02/2012;9;EMPRESA DE PEQUENO PORTE;Material;2018;78661.19
3 GIGAFOX NETWORK E INFORMATICA EIRELI;SÃO PAULO;SP;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);13/02/2012;9;EMPRESA DE PEQUENO PORTE;Material;2019;18030.30
3 JER COMERCIO  INSTALACAO E MANUTENCAO DE AR CONDICIONADO LTDA;GOIÂNIA;GO;Sociedade Empresária Limitada;11/02/2014;7;NÃO INFORMADO;Material;2018;3032.99
3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.;RESENDE;RJ;Sociedade Empresária Limitada;09/09/2010;11;DEMAIS;Serviço;2020;30360.00
3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.;SANTANA DE PARNAÍBA;SP;Sociedade Empresária Limitada;10/01/2001;20;DEMAIS;Material;2020;973450.00
3CORP TECHNOLOGY INFRAESTRUTURA DE TELECOM LTDA.;SANTANA DE PARNAÍBA;SP;Sociedade Empresária Limitada;10/01/2001;20;DEMAIS;Serviço;2019;1523863.80
3D LAB INDUSTRIA LTDA;BETIM;MG;Sociedade Empresária Limitada;08/05/2014;7;EMPRESA DE PEQUENO PORTE;Material;2018;519.60
3D LAB INDUSTRIA LTDA;BETIM;MG;Sociedade Empresária Limitada;08/05/2014;7;EMPRESA DE PEQUENO PORTE;Material;2019;6400.00
4BIOS ACADEMY LTDA;SÃO PAULO;SP;Sociedade Empresária Limitada;22/03/2012;9;DEMAIS;Serviço;2020;13800.00
4KSEG SOLUCOES TECNOLOGICAS EIRELI;PALHOÇA;SC;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);20/09/2016;5;NÃO INFORMADO;Material;2020;46296.78
4XPERT TECNOLOGIA DA INFORMACAO LTDA;RIO DE JANEIRO;RJ;Sociedade Simples Limitada;11/02/2005;16;EMPRESA DE PEQUENO PORTE;Serviço;2018;17000.00
7DATA DISTRIBUIDORA DE EQUIPAMENTOS EIRELI;VITÓRIA;ES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);05/03/2018;3;EMPRESA DE PEQUENO PORTE;Material;2020;167096.11
90 TECNOLOGIA DA INFORMACAO LTDA;BELO HORIZONTE;MG;Sociedade Empresária Limitada;03/07/1986;35;DEMAIS;Material;2020;48952.00
A & C DESIGN COMERCIO DE MATERIAL E SERVICOS LTDA;RIO DE JANEIRO;RJ;Sociedade Simples Limitada;24/02/2006;15;NÃO INFORMADO;Material;2020;297.00
A & L INFO SOLUCOES EM INFORMATICA EIRELI;GUAMARÉ;RN;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);12/07/2011;10;NÃO INFORMADO;Serviço;2020;27090.00
A C DO A D RODRIGUES EIRELI;ANANINDEUA;PA;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);26/06/2017;4;EMPRESA DE PEQUENO PORTE;Material;2018;3233.36
A C DO A D RODRIGUES EIRELI;ANANINDEUA;PA;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);26/06/2017;4;EMPRESA DE PEQUENO PORTE;Material;2019;154650.90
A C S DE OLIVEIRA MATERIAL DE INFORMATICA E PAPELARIA EIRELI;NITERÓI;RJ;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);29/10/2018;3;NÃO INFORMADO;Material;2018;11660.00
A D P COMERCIO VAREJISTA DE MERCADINHO E PAPELARIA LTDA;FORTALEZA;CE;Sociedade Empresária Limitada;09/02/2012;9;NÃO INFORMADO;Material;2018;1160.00
A DE M BARBOSA COMERCIO E SERVICOS EIRELI;ITAITUBA;PA;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);27/10/2016;5;NÃO INFORMADO;Material;2020;3314.00
